date,region,sst
2009-12-15,Gulf of St. Lawrence,2.375
2010-01-15,Bay of Fundy,4.17
2010-01-15,Scotian Shelf,4.032
2010-01-15,Gulf of St. Lawrence,0.664
2010-02-15,Bay of Fundy,2.719
2010-02-15,Scotian Shelf,1.694
2010-02-15,Gulf of St. Lawrence,-0.568
2010-03-15,Bay of Fundy,2.844
2010-03-15,Scotian Shelf,2.602
2010-03-15,Gulf of St. Lawrence,0.203
2010-04-15,Bay of Fundy,4.367
2010-04-15,Scotian Shelf,3.932
2010-04-15,Gulf of St. Lawrence,1.639
2010-05-15,Bay of Fundy,6.809
2010-05-15,Scotian Shelf,6.201
2010-05-15,Gulf of St. Lawrence,4.497
2010-06-15,Bay of Fundy,10.049
2010-06-15,Scotian Shelf,9.855
2010-06-15,Gulf of St. Lawrence,9.502
2010-08-15,Bay of Fundy,15.435
2010-08-15,Scotian Shelf,18.768
2010-08-15,Gulf of St. Lawrence,17.828
2010-09-15,Bay of Fundy,13.871
2010-09-15,Scotian Shelf,16.575
2010-09-15,Gulf of St. Lawrence,13.235
2010-10-15,Bay of Fundy,12.438
2010-10-15,Scotian Shelf,13.259
2010-10-15,Gulf of St. Lawrence,9.716
2010-11-15,Bay of Fundy,9.954
2010-11-15,Scotian Shelf,10.591
2010-11-15,Gulf of St. Lawrence,6.383
2010-12-15,Bay of Fundy,7.313
2010-12-15,Scotian Shelf,7.643
2010-12-15,Gulf of St. Lawrence,4.107
2011-01-15,Bay of Fundy,4.878
2011-01-15,Scotian Shelf,4.852
2011-01-15,Gulf of St. Lawrence,1.891
2011-02-15,Bay of Fundy,3.402
2011-02-15,Scotian Shelf,2.629
2011-02-15,Gulf of St. Lawrence,-0.035
2011-03-15,Bay of Fundy,2.941
2011-03-15,Scotian Shelf,2.003
2011-03-15,Gulf of St. Lawrence,-0.424
2011-04-15,Bay of Fundy,3.823
2011-04-15,Scotian Shelf,2.778
2011-04-15,Gulf of St. Lawrence,0.606
2011-05-15,Bay of Fundy,5.574
2011-05-15,Scotian Shelf,5.724
2011-05-15,Gulf of St. Lawrence,3.322
2011-06-15,Bay of Fundy,9.462
2011-06-15,Scotian Shelf,9.719
2011-06-15,Gulf of St. Lawrence,10.134
2011-08-15,Bay of Fundy,14.011
2011-08-15,Scotian Shelf,16.188
2011-08-15,Gulf of St. Lawrence,16.331
2011-09-15,Bay of Fundy,14.459
2011-09-15,Scotian Shelf,16.885
2011-09-15,Gulf of St. Lawrence,13.908
2011-10-15,Bay of Fundy,12.479
2011-10-15,Scotian Shelf,13.344
2011-10-15,Gulf of St. Lawrence,10.456
2011-11-15,Bay of Fundy,10.334
2011-11-15,Scotian Shelf,10.341
2011-11-15,Gulf of St. Lawrence,6.785
2011-12-15,Bay of Fundy,7.967
2011-12-15,Scotian Shelf,7.464
2011-12-15,Gulf of St. Lawrence,3.46
2012-01-15,Bay of Fundy,5.2
2012-01-15,Scotian Shelf,5.204
2012-01-15,Gulf of St. Lawrence,0.51
2012-02-15,Bay of Fundy,3.667
2012-02-15,Scotian Shelf,3.354
2012-02-15,Gulf of St. Lawrence,-0.121
2012-03-15,Bay of Fundy,3.764
2012-03-15,Scotian Shelf,3.223
2012-03-15,Gulf of St. Lawrence,-0.065
2012-04-15,Bay of Fundy,5.119
2012-04-15,Scotian Shelf,4.488
2012-04-15,Gulf of St. Lawrence,1.555
2012-05-15,Bay of Fundy,7.569
2012-05-15,Scotian Shelf,7.347
2012-05-15,Gulf of St. Lawrence,5.47
2012-06-15,Bay of Fundy,10.729
2012-06-15,Scotian Shelf,11.578
2012-06-15,Gulf of St. Lawrence,11.033
2012-08-15,Bay of Fundy,16.867
2012-08-15,Scotian Shelf,20.439
2012-08-15,Gulf of St. Lawrence,18.588
2012-09-15,Bay of Fundy,15.531
2012-09-15,Scotian Shelf,18.247
2012-09-15,Gulf of St. Lawrence,15.957
2012-10-15,Bay of Fundy,13.037
2012-10-15,Scotian Shelf,14.511
2012-10-15,Gulf of St. Lawrence,8.965
2012-11-15,Bay of Fundy,11.359
2012-11-15,Scotian Shelf,12.048
2012-11-15,Gulf of St. Lawrence,6.796
2012-12-15,Bay of Fundy,8.564
2012-12-15,Scotian Shelf,8.037
2012-12-15,Gulf of St. Lawrence,2.807
2013-01-15,Bay of Fundy,5.849
2013-01-15,Scotian Shelf,4.857
2013-01-15,Gulf of St. Lawrence,1.055
2013-02-15,Bay of Fundy,3.467
2013-02-15,Scotian Shelf,2.907
2013-02-15,Gulf of St. Lawrence,-0.483
2013-03-15,Bay of Fundy,3.18
2013-03-15,Scotian Shelf,2.975
2013-03-15,Gulf of St. Lawrence,-0.101
2013-04-15,Bay of Fundy,3.494
2013-04-15,Scotian Shelf,3.499
2013-04-15,Gulf of St. Lawrence,0.992
2013-05-15,Bay of Fundy,7.142
2013-05-15,Scotian Shelf,7.152
2013-05-15,Gulf of St. Lawrence,5.446
2013-06-15,Bay of Fundy,9.721
2013-06-15,Scotian Shelf,10.52
2013-06-15,Gulf of St. Lawrence,9.61
2013-08-15,Bay of Fundy,13.956
2013-08-15,Scotian Shelf,17.903
2013-08-15,Gulf of St. Lawrence,15.568
2013-09-15,Bay of Fundy,14.332
2013-09-15,Scotian Shelf,17.43
2013-09-15,Gulf of St. Lawrence,13.471
2013-10-15,Bay of Fundy,12.823
2013-10-15,Scotian Shelf,14.735
2013-10-15,Gulf of St. Lawrence,10.556
2013-11-15,Bay of Fundy,9.946
2013-11-15,Scotian Shelf,10.436
2013-11-15,Gulf of St. Lawrence,5.539
2013-12-15,Bay of Fundy,6.268
2013-12-15,Scotian Shelf,6.092
2013-12-15,Gulf of St. Lawrence,1.884
2014-01-15,Bay of Fundy,4.43
2014-01-15,Scotian Shelf,3.859
2014-01-15,Gulf of St. Lawrence,0.103
2014-02-15,Bay of Fundy,2.947
2014-02-15,Scotian Shelf,2.678
2014-02-15,Gulf of St. Lawrence,-0.467
2014-03-15,Bay of Fundy,2.632
2014-03-15,Scotian Shelf,2.39
2014-03-15,Gulf of St. Lawrence,-0.506
2014-04-15,Bay of Fundy,3.113
2014-04-15,Scotian Shelf,3.317
2014-04-15,Gulf of St. Lawrence,0.169
2014-05-15,Bay of Fundy,6.651
2014-05-15,Scotian Shelf,5.964
2014-05-15,Gulf of St. Lawrence,4.428
2014-06-15,Bay of Fundy,9.558
2014-06-15,Scotian Shelf,10.151
2014-06-15,Gulf of St. Lawrence,9.79
2014-08-15,Bay of Fundy,14.441
2014-08-15,Scotian Shelf,19.468
2014-08-15,Gulf of St. Lawrence,18.05
2014-09-15,Bay of Fundy,14.102
2014-09-15,Scotian Shelf,17.674
2014-09-15,Gulf of St. Lawrence,13.779
2014-10-15,Bay of Fundy,13.415
2014-10-15,Scotian Shelf,15.29
2014-10-15,Gulf of St. Lawrence,9.929
2014-11-15,Bay of Fundy,10.559
2014-11-15,Scotian Shelf,10.9
2014-11-15,Gulf of St. Lawrence,5.426
2014-12-15,Bay of Fundy,7.924
2014-12-15,Scotian Shelf,7.831
2014-12-15,Gulf of St. Lawrence,2.589
2015-01-15,Bay of Fundy,5.597
2015-01-15,Scotian Shelf,4.878
2015-01-15,Gulf of St. Lawrence,0.341
2015-02-15,Bay of Fundy,2.486
2015-02-15,Scotian Shelf,3.2
2015-02-15,Gulf of St. Lawrence,-0.612
2015-03-15,Bay of Fundy,1.311
2015-03-15,Scotian Shelf,2.112
2015-03-15,Gulf of St. Lawrence,-0.502
2015-04-15,Bay of Fundy,2.724
2015-04-15,Scotian Shelf,2.665
2015-04-15,Gulf of St. Lawrence,0.251
2015-05-15,Bay of Fundy,6.184
2015-05-15,Scotian Shelf,6.355
2015-05-15,Gulf of St. Lawrence,3.994
2015-06-15,Bay of Fundy,9.141
2015-06-15,Scotian Shelf,9.888
2015-06-15,Gulf of St. Lawrence,9.069
2015-08-15,Bay of Fundy,14.621
2015-08-15,Scotian Shelf,17.978
2015-08-15,Gulf of St. Lawrence,17.597
2015-09-15,Bay of Fundy,14.512
2015-09-15,Scotian Shelf,18.308
2015-09-15,Gulf of St. Lawrence,14.932
2015-10-15,Bay of Fundy,13.158
2015-10-15,Scotian Shelf,15.495
2015-10-15,Gulf of St. Lawrence,10.559
2015-11-15,Bay of Fundy,10.595
2015-11-15,Scotian Shelf,10.853
2015-11-15,Gulf of St. Lawrence,5.802
2015-12-15,Bay of Fundy,8.295
2015-12-15,Scotian Shelf,8.188
2015-12-15,Gulf of St. Lawrence,3.695
2016-01-15,Bay of Fundy,5.517
2016-01-15,Scotian Shelf,5.754
2016-01-15,Gulf of St. Lawrence,0.491
2016-02-15,Bay of Fundy,3.482
2016-02-15,Scotian Shelf,3.191
2016-02-15,Gulf of St. Lawrence,-0.957
2016-03-15,Bay of Fundy,3.45
2016-03-15,Scotian Shelf,4.038
2016-03-15,Gulf of St. Lawrence,-0.969
2016-04-15,Bay of Fundy,4.332
2016-04-15,Scotian Shelf,3.94
2016-04-15,Gulf of St. Lawrence,-0.344
2016-05-15,Bay of Fundy,7.107
2016-05-15,Scotian Shelf,6.439
2016-05-15,Gulf of St. Lawrence,4.914
2016-06-15,Bay of Fundy,10.205
2016-06-15,Scotian Shelf,10.408
2016-06-15,Gulf of St. Lawrence,8.913
2016-08-15,Bay of Fundy,15.559
2016-08-15,Scotian Shelf,19.535
2016-08-15,Gulf of St. Lawrence,16.925
2016-09-15,Bay of Fundy,15.305
2016-09-15,Scotian Shelf,17.985
2016-09-15,Gulf of St. Lawrence,13.691
2016-10-15,Bay of Fundy,13.164
2016-10-15,Scotian Shelf,14.264
2016-10-15,Gulf of St. Lawrence,9.926
2016-11-15,Bay of Fundy,11.017
2016-11-15,Scotian Shelf,11.307
2016-11-15,Gulf of St. Lawrence,6.846
2016-12-15,Bay of Fundy,7.972
2016-12-15,Scotian Shelf,7.19
2016-12-15,Gulf of St. Lawrence,3.108
2017-01-15,Bay of Fundy,5.709
2017-01-15,Scotian Shelf,4.572
2017-01-15,Gulf of St. Lawrence,0.386
2017-02-15,Bay of Fundy,2.719
2017-02-15,Scotian Shelf,2.433
2017-02-15,Gulf of St. Lawrence,-0.374
2017-03-15,Bay of Fundy,2.327
2017-03-15,Scotian Shelf,1.843
2017-03-15,Gulf of St. Lawrence,-1.055
2017-04-15,Bay of Fundy,3.567
2017-04-15,Scotian Shelf,3.282
2017-04-15,Gulf of St. Lawrence,0.934
2017-05-15,Bay of Fundy,5.768
2017-05-15,Scotian Shelf,6.015
2017-05-15,Gulf of St. Lawrence,4.723
2017-06-15,Bay of Fundy,9.489
2017-06-15,Scotian Shelf,9.07
2017-06-15,Gulf of St. Lawrence,9.364
2017-08-15,Bay of Fundy,14.807
2017-08-15,Scotian Shelf,18.444
2017-08-15,Gulf of St. Lawrence,16.459
2017-09-15,Bay of Fundy,14.874
2017-09-15,Scotian Shelf,17.525
2017-09-15,Gulf of St. Lawrence,14.87
2017-10-15,Bay of Fundy,13.796
2017-10-15,Scotian Shelf,14.926
2017-10-15,Gulf of St. Lawrence,10.685
2017-11-15,Bay of Fundy,11.235
2017-11-15,Scotian Shelf,11.952
2017-11-15,Gulf of St. Lawrence,5.462
2017-12-15,Bay of Fundy,8.569
2017-12-15,Scotian Shelf,8.438
2017-12-15,Gulf of St. Lawrence,2.458
2018-01-15,Bay of Fundy,5.274
2018-01-15,Scotian Shelf,4.433
2018-01-15,Gulf of St. Lawrence,-0.213
2018-02-15,Bay of Fundy,3.584
2018-02-15,Scotian Shelf,3.346
2018-02-15,Gulf of St. Lawrence,-1.269
2018-03-15,Bay of Fundy,3.261
2018-03-15,Scotian Shelf,3.968
2018-03-15,Gulf of St. Lawrence,-1.245
2018-04-15,Bay of Fundy,3.562
2018-04-15,Scotian Shelf,3.948
2018-04-15,Gulf of St. Lawrence,-0.267
2018-05-15,Bay of Fundy,7.675
2018-05-15,Scotian Shelf,8.174
2018-05-15,Gulf of St. Lawrence,3.617
2018-06-15,Bay of Fundy,9.866
2018-06-15,Scotian Shelf,10.134
2018-06-15,Gulf of St. Lawrence,7.813
2018-08-15,Bay of Fundy,16.242
2018-08-15,Scotian Shelf,20.214
2018-08-15,Gulf of St. Lawrence,17.872
2018-09-15,Bay of Fundy,16.328
2018-09-15,Scotian Shelf,18.938
2018-09-15,Gulf of St. Lawrence,15.291
2018-10-15,Bay of Fundy,13.032
2018-10-15,Scotian Shelf,14.611
2018-10-15,Gulf of St. Lawrence,9.047
2018-11-15,Bay of Fundy,9.067
2018-11-15,Scotian Shelf,9.551
2018-11-15,Gulf of St. Lawrence,4.55
2018-12-15,Bay of Fundy,6.027
2018-12-15,Scotian Shelf,5.415
2018-12-15,Gulf of St. Lawrence,1.578
2019-01-15,Bay of Fundy,3.784
2019-01-15,Scotian Shelf,3.072
2019-01-15,Gulf of St. Lawrence,-0.585
2019-02-15,Bay of Fundy,2.001
2019-02-15,Scotian Shelf,1.913
2019-02-15,Gulf of St. Lawrence,-1.463
2019-03-15,Bay of Fundy,1.369
2019-03-15,Scotian Shelf,1.541
2019-03-15,Gulf of St. Lawrence,-1.475
2019-04-15,Bay of Fundy,3.407
2019-04-15,Scotian Shelf,2.632
2019-04-15,Gulf of St. Lawrence,0.272
2019-05-15,Bay of Fundy,5.906
2019-05-15,Scotian Shelf,5.547
2019-05-15,Gulf of St. Lawrence,4.258
2019-06-15,Bay of Fundy,9.546
2019-06-15,Scotian Shelf,9.121
2019-06-15,Gulf of St. Lawrence,9.228
2019-08-15,Bay of Fundy,14.777
2019-08-15,Scotian Shelf,18.487
2019-08-15,Gulf of St. Lawrence,17.364
2019-09-15,Bay of Fundy,13.381
2019-09-15,Scotian Shelf,14.336
2019-09-15,Gulf of St. Lawrence,11.518
2019-10-15,Bay of Fundy,12.451
2019-10-15,Scotian Shelf,12.983
2019-10-15,Gulf of St. Lawrence,10.065
2019-11-15,Bay of Fundy,10.068
2019-11-15,Scotian Shelf,10.235
2019-11-15,Gulf of St. Lawrence,5.104
2019-12-15,Bay of Fundy,7.289
2019-12-15,Scotian Shelf,6.668
2019-12-15,Gulf of St. Lawrence,1.752
2020-01-15,Bay of Fundy,5.023
2020-01-15,Scotian Shelf,3.738
2020-01-15,Gulf of St. Lawrence,-0.417
2020-02-15,Bay of Fundy,3.604
2020-02-15,Scotian Shelf,2.394
2020-02-15,Gulf of St. Lawrence,-1.305
2020-03-15,Bay of Fundy,2.948
2020-03-15,Scotian Shelf,1.979
2020-03-15,Gulf of St. Lawrence,-1.432
2020-04-15,Bay of Fundy,4.052
2020-04-15,Scotian Shelf,3.61
2020-04-15,Gulf of St. Lawrence,0.512
2020-05-15,Bay of Fundy,6.177
2020-05-15,Scotian Shelf,5.107
2020-05-15,Gulf of St. Lawrence,2.762
2020-06-15,Bay of Fundy,9.322
2020-06-15,Scotian Shelf,9.967
2020-06-15,Gulf of St. Lawrence,9.518
2020-08-15,Bay of Fundy,16.713
2020-08-15,Scotian Shelf,19.966
2020-08-15,Gulf of St. Lawrence,18.768
2020-09-15,Bay of Fundy,15.043
2020-09-15,Scotian Shelf,17.624
2020-09-15,Gulf of St. Lawrence,13.271
2020-10-15,Bay of Fundy,12.282
2020-10-15,Scotian Shelf,13.578
2020-10-15,Gulf of St. Lawrence,8.675
2020-11-15,Bay of Fundy,10.586
2020-11-15,Scotian Shelf,11.233
2020-11-15,Gulf of St. Lawrence,6.01
2020-12-15,Bay of Fundy,7.982
2020-12-15,Scotian Shelf,8.525
2020-12-15,Gulf of St. Lawrence,2.915
2021-01-15,Bay of Fundy,5.856
2021-01-15,Scotian Shelf,6.318
2021-01-15,Gulf of St. Lawrence,0.799
2021-02-15,Bay of Fundy,3.904
2021-02-15,Scotian Shelf,4.094
2021-02-15,Gulf of St. Lawrence,-0.324
2021-03-15,Bay of Fundy,3.141
2021-03-15,Scotian Shelf,2.675
2021-03-15,Gulf of St. Lawrence,-0.609
2021-04-15,Bay of Fundy,4.541
2021-04-15,Scotian Shelf,3.6
2021-04-15,Gulf of St. Lawrence,1.236
2021-05-15,Bay of Fundy,7.584
2021-05-15,Scotian Shelf,7.001
2021-05-15,Gulf of St. Lawrence,5.129
2021-06-15,Bay of Fundy,11.18
2021-06-15,Scotian Shelf,10.732
2021-06-15,Gulf of St. Lawrence,9.196
2021-08-15,Bay of Fundy,17.03
2021-08-15,Scotian Shelf,19.809
2021-08-15,Gulf of St. Lawrence,18.812
2021-09-15,Bay of Fundy,14.766
2021-09-15,Scotian Shelf,17.275
2021-09-15,Gulf of St. Lawrence,13.538
2021-10-15,Bay of Fundy,14.177
2021-10-15,Scotian Shelf,15.25
2021-10-15,Gulf of St. Lawrence,11.892
2021-11-15,Bay of Fundy,11.439
2021-11-15,Scotian Shelf,11.179
2021-11-15,Gulf of St. Lawrence,7.408
2021-12-15,Bay of Fundy,8.168
2021-12-15,Scotian Shelf,7.892
2021-12-15,Gulf of St. Lawrence,3.457
2022-01-15,Bay of Fundy,5.08
2022-01-15,Scotian Shelf,4.585
2022-01-15,Gulf of St. Lawrence,0.693
2022-02-15,Bay of Fundy,2.893
2022-02-15,Scotian Shelf,3.297
2022-02-15,Gulf of St. Lawrence,-1.055
2022-03-15,Bay of Fundy,2.797
2022-03-15,Scotian Shelf,2.683
2022-03-15,Gulf of St. Lawrence,-1.182
2022-04-15,Bay of Fundy,4.455
2022-04-15,Scotian Shelf,3.36
2022-04-15,Gulf of St. Lawrence,1.419
2022-05-15,Bay of Fundy,7.727
2022-05-15,Scotian Shelf,6.526
2022-05-15,Gulf of St. Lawrence,5.073
2022-06-15,Bay of Fundy,11.448
2022-06-15,Scotian Shelf,11.008
2022-06-15,Gulf of St. Lawrence,10.565
2022-08-15,Bay of Fundy,16.202
2022-08-15,Scotian Shelf,19.547
2022-08-15,Gulf of St. Lawrence,18.256
2022-09-15,Bay of Fundy,15.877
2022-09-15,Scotian Shelf,19.261
2022-09-15,Gulf of St. Lawrence,17.671
2022-10-15,Bay of Fundy,13.105
2022-10-15,Scotian Shelf,14.231
2022-10-15,Gulf of St. Lawrence,9.354
2022-11-15,Bay of Fundy,11.281
2022-11-15,Scotian Shelf,11.406
2022-11-15,Gulf of St. Lawrence,6.33
2022-12-15,Bay of Fundy,7.941
2022-12-15,Scotian Shelf,8.511
2022-12-15,Gulf of St. Lawrence,2.878
2023-01-15,Bay of Fundy,5.861
2023-01-15,Scotian Shelf,5.656
2023-01-15,Gulf of St. Lawrence,0.443
2023-02-15,Bay of Fundy,4.358
2023-02-15,Scotian Shelf,4.382
2023-02-15,Gulf of St. Lawrence,-0.1
2023-03-15,Bay of Fundy,3.538
2023-03-15,Scotian Shelf,3.609
2023-03-15,Gulf of St. Lawrence,-0.072
2023-04-15,Bay of Fundy,5.251
2023-04-15,Scotian Shelf,3.814
2023-04-15,Gulf of St. Lawrence,1.259
2023-05-15,Bay of Fundy,7.224
2023-05-15,Scotian Shelf,5.975
2023-05-15,Gulf of St. Lawrence,4.821
2023-06-15,Bay of Fundy,9.959
2023-06-15,Scotian Shelf,9.794
2023-06-15,Gulf of St. Lawrence,8.569
2023-08-15,Bay of Fundy,14.865
2023-08-15,Scotian Shelf,17.92
2023-08-15,Gulf of St. Lawrence,16.212
2023-09-15,Bay of Fundy,15.313
2023-09-15,Scotian Shelf,18.793
2023-09-15,Gulf of St. Lawrence,16.734
2023-10-15,Bay of Fundy,13.162
2023-10-15,Scotian Shelf,15.456
2023-10-15,Gulf of St. Lawrence,12.71
2023-11-15,Bay of Fundy,9.812
2023-11-15,Scotian Shelf,10.438
2023-11-15,Gulf of St. Lawrence,6.713
2023-12-15,Bay of Fundy,6.672
2023-12-15,Scotian Shelf,6.526
2023-12-15,Gulf of St. Lawrence,2.941
2024-01-15,Bay of Fundy,3.938
2024-01-15,Scotian Shelf,4.023
2024-01-15,Gulf of St. Lawrence,0.856
2024-02-15,Bay of Fundy,2.691
2024-02-15,Scotian Shelf,2.625
2024-02-15,Gulf of St. Lawrence,-0.262
2024-03-15,Bay of Fundy,3.204
2024-03-15,Scotian Shelf,2.097
2024-03-15,Gulf of St. Lawrence,-0.057
2024-04-15,Bay of Fundy,5.095
2024-04-15,Scotian Shelf,3.617
2024-04-15,Gulf of St. Lawrence,1.905
2024-05-15,Bay of Fundy,7.081
2024-05-15,Scotian Shelf,5.65
2024-05-15,Gulf of St. Lawrence,5.798
2024-06-15,Bay of Fundy,10.734
2024-06-15,Scotian Shelf,11.157
2024-06-15,Gulf of St. Lawrence,11.105
2024-08-15,Bay of Fundy,15.172
2024-08-15,Scotian Shelf,18.631
2024-08-15,Gulf of St. Lawrence,16.542
2024-09-15,Bay of Fundy,15.064
2024-09-15,Scotian Shelf,17.878
2024-09-15,Gulf of St. Lawrence,14.778
2024-10-15,Bay of Fundy,12.998
2024-10-15,Scotian Shelf,14.521
2024-10-15,Gulf of St. Lawrence,11.273
2024-11-15,Bay of Fundy,9.313
2024-11-15,Scotian Shelf,9.426
2024-11-15,Gulf of St. Lawrence,5.845
2024-12-15,Bay of Fundy,6.712
2024-12-15,Scotian Shelf,6.661
2024-12-15,Gulf of St. Lawrence,3.32
2025-01-15,Bay of Fundy,4.589
2025-01-15,Scotian Shelf,4.584
2025-01-15,Gulf of St. Lawrence,1.253
2025-02-15,Bay of Fundy,2.488
2025-02-15,Scotian Shelf,2.48
2025-02-15,Gulf of St. Lawrence,-0.842
2025-03-15,Bay of Fundy,2.07
2025-03-15,Scotian Shelf,1.459
2025-03-15,Gulf of St. Lawrence,-0.737
2025-04-15,Bay of Fundy,3.182
2025-04-15,Scotian Shelf,2.942
2025-04-15,Gulf of St. Lawrence,0.976
2025-05-15,Bay of Fundy,6.313
2025-05-15,Scotian Shelf,5.938
2025-05-15,Gulf of St. Lawrence,4.054
2025-06-15,Bay of Fundy,9.783
2025-06-15,Scotian Shelf,10.34
2025-06-15,Gulf of St. Lawrence,9.822
2025-08-15,Bay of Fundy,15.812
2025-08-15,Scotian Shelf,19.46
2025-08-15,Gulf of St. Lawrence,18.023
2025-09-15,Bay of Fundy,15.116
2025-09-15,Scotian Shelf,18.229
2025-09-15,Gulf of St. Lawrence,15.249
2025-10-15,Bay of Fundy,13.012
2025-10-15,Scotian Shelf,15.261
2025-10-15,Gulf of St. Lawrence,10.528
2025-11-15,Bay of Fundy,9.881
2025-11-15,Scotian Shelf,10.701
2025-11-15,Gulf of St. Lawrence,6.333
2025-12-15,Bay of Fundy,6.348
2025-12-15,Scotian Shelf,6.836
2025-12-15,Gulf of St. Lawrence,2.263
2026-02-15,Bay of Fundy,2.356
2026-02-15,Scotian Shelf,3.054
2026-02-15,Gulf of St. Lawrence,-0.716
2026-03-15,Bay of Fundy,1.862
2026-03-15,Scotian Shelf,2.457
2026-03-15,Gulf of St. Lawrence,-0.842
2026-04-15,Bay of Fundy,3.132
2026-04-15,Scotian Shelf,3.041
2026-04-15,Gulf of St. Lawrence,0.474
